Number of nodes 1818 
     0 :  7.0710678e-01  7.0710678e-01 
     1 :  7.0710678e-01 -7.0710678e-01 
     2 :  3.0000000e-01  0.0000000e+00 
     3 :  7.0710678e-01  7.0710678e-01 
     4 :  7.0710678e-01 -7.0710678e-01 
     5 :  1.9928932e+00  7.0710678e-01 
     6 :  1.9928932e+00 -7.0710678e-01 
     7 :  3.4071068e+00  7.0710678e-01 
     8 :  1.9928932e+00  7.0710678e-01 
     9 :  1.9928932e+00 -7.0710678e-01 
    10 :  3.4071068e+00 -7.0710678e-01 
    11 :  3.0000000e+00  0.0000000e+00 
    12 :  3.4071068e+00  7.0710678e-01 
    13 :  3.4071068e+00 -7.0710678e-01 
    14 :  4.6928932e+00  7.0710678e-01 
    15 :  4.6928932e+00 -7.0710678e-01 
    16 :  6.1071068e+00  7.0710678e-01 
    17 :  4.6928932e+00  7.0710678e-01 
    18 :  4.6928932e+00 -7.0710678e-01 
    19 :  6.1071068e+00 -7.0710678e-01 
    20 :  5.7000000e+00  0.0000000e+00 
    21 :  6.1071068e+00  7.0710678e-01 
    22 :  6.1071068e+00 -7.0710678e-01 
    23 :  7.3928932e+00  7.0710678e-01 
    24 :  7.3928932e+00 -7.0710678e-01 
    25 :  8.8071068e+00  7.0710678e-01 
    26 :  7.3928932e+00  7.0710678e-01 
    27 :  7.3928932e+00 -7.0710678e-01 
    28 :  8.8071068e+00 -7.0710678e-01 
    29 :  8.4000000e+00  0.0000000e+00 
    30 :  8.8071068e+00  7.0710678e-01 
    31 :  8.8071068e+00 -7.0710678e-01 
    32 :  1.0092893e+01  7.0710678e-01 
    33 :  1.0092893e+01 -7.0710678e-01 
    34 :  1.1507107e+01  7.0710678e-01 
    35 :  1.0092893e+01  7.0710678e-01 
    36 :  1.0092893e+01 -7.0710678e-01 
    37 :  1.1507107e+01 -7.0710678e-01 
    38 :  1.1100000e+01  0.0000000e+00 
    39 :  1.1507107e+01  7.0710678e-01 
    40 :  1.1507107e+01 -7.0710678e-01 
    41 :  1.2792893e+01  7.0710678e-01 
    42 :  1.2792893e+01 -7.0710678e-01 
    43 :  1.4207107e+01  7.0710678e-01 
    44 :  1.2792893e+01  7.0710678e-01 
    45 :  1.4207107e+01 -7.0710678e-01 
    46 :  1.4207107e+01  7.0710678e-01 
    47 :  1.2792893e+01 -7.0710678e-01 
    48 :  1.4207107e+01 -7.0710678e-01 
    49 :  1.3800000e+01  0.0000000e+00 
    50 :  5.9569930e-01  8.0320753e-01 
    51 :  4.7139674e-01  8.8192126e-01 
    52 :  3.3688985e-01  9.4154407e-01 
    53 :  1.9509032e-01  9.8078528e-01 
    54 :  4.9067674e-02  9.9879546e-01 
    55 : -9.8017140e-02  9.9518473e-01 
    56 : -2.4298018e-01  9.7003125e-01 
    57 : -3.8268343e-01  9.2387953e-01 
    58 : -5.1410274e-01  8.5772861e-01 
    59 : -6.3439328e-01  7.7301045e-01 
    60 : -7.4095113e-01  6.7155895e-01 
    61 : -8.3146961e-01  5.5557023e-01 
    62 : -9.0398929e-01  4.2755509e-01 
    63 : -9.5694034e-01  2.9028468e-01 
    64 : -9.8917651e-01  1.4673047e-01 
    65 : -1.0000000e+00  3.2310851e-15 
    66 : -9.8917651e-01 -1.4673047e-01 
    67 : -9.5694034e-01 -2.9028468e-01 
    68 : -9.0398929e-01 -4.2755509e-01 
    69 : -8.3146961e-01 -5.5557023e-01 
    70 : -7.4095113e-01 -6.7155895e-01 
    71 : -6.3439328e-01 -7.7301045e-01 
    72 : -5.1410274e-01 -8.5772861e-01 
    73 : -3.8268343e-01 -9.2387953e-01 
    74 : -2.4298018e-01 -9.7003125e-01 
    75 : -9.8017140e-02 -9.9518473e-01 
    76 :  4.9067674e-02 -9.9879546e-01 
    77 :  1.9509032e-01 -9.8078528e-01 
    78 :  3.3688985e-01 -9.4154407e-01 
    79 :  4.7139674e-01 -8.8192126e-01 
    80 :  5.9569930e-01 -8.0320753e-01 
    81 :  2.6563681e-01  1.3941695e-01 
    82 :  1.7041942e-01  2.4689516e-01 
    83 :  3.6161004e-02  2.9781266e-01 
    84 : -1.0638147e-01  2.8050487e-01 
    85 : -2.2455322e-01  1.9893680e-01 
    86 : -2.9128255e-01  7.1794699e-02 
    87 : -2.9128255e-01 -7.1794699e-02 
    88 : -2.2455322e-01 -1.9893680e-01 
    89 : -1.0638147e-01 -2.8050487e-01 
    90 :  3.6161004e-02 -2.9781266e-01 
    91 :  1.7041942e-01 -2.4689516e-01 
    92 :  2.6563681e-01 -1.3941695e-01 
    93 :  8.4997194e-01  7.0710678e-01 
    94 :  9.9283710e-01  7.0710678e-01 
    95 :  1.1357023e+00  7.0710678e-01 
    96 :  1.2785674e+00  7.0710678e-01 
    97 :  1.4214326e+00  7.0710678e-01 
    98 :  1.5642977e+00  7.0710678e-01 
    99 :  1.7071629e+00  7.0710678e-01 
   100 :  1.8500281e+00  7.0710678e-01 
   101 :  8.4997194e-01 -7.0710678e-01 
   102 :  9.9283710e-01 -7.0710678e-01 
   103 :  1.1357023e+00 -7.0710678e-01 
   104 :  1.2785674e+00 -7.0710678e-01 
   105 :  1.4214326e+00 -7.0710678e-01 
   106 :  1.5642977e+00 -7.0710678e-01 
   107 :  1.7071629e+00 -7.0710678e-01 
   108 :  1.8500281e+00 -7.0710678e-01 
   109 :  3.2992777e+00  8.0054124e-01 
   110 :  3.1792490e+00  8.7767899e-01 
   111 :  3.0494642e+00  9.3694972e-01 
   112 :  2.9125653e+00  9.7714687e-01 
   113 :  2.7713392e+00  9.9745211e-01 
   114 :  2.6286608e+00  9.9745211e-01 
   115 :  2.4874347e+00  9.7714687e-01 
   116 :  2.3505358e+00  9.3694972e-01 
   117 :  2.2207510e+00  8.7767899e-01 
   118 :  2.1007223e+00  8.0054124e-01 
   119 :  2.1007223e+00 -8.0054124e-01 
   120 :  2.2207510e+00 -8.7767899e-01 
   121 :  2.3505358e+00 -9.3694972e-01 
   122 :  2.4874347e+00 -9.7714687e-01 
   123 :  2.6286608e+00 -9.9745211e-01 
   124 :  2.7713392e+00 -9.9745211e-01 
   125 :  2.9125653e+00 -9.7714687e-01 
   126 :  3.0494642e+00 -9.3694972e-01 
   127 :  3.1792490e+00 -8.7767899e-01 
   128 :  3.2992777e+00 -8.0054124e-01 
   129 :  2.9656368e+00  1.3941695e-01 
   130 :  2.8704194e+00  2.4689516e-01 
   131 :  2.7361610e+00  2.9781266e-01 
   132 :  2.5936185e+00  2.8050487e-01 
   133 :  2.4754468e+00  1.9893680e-01 
   134 :  2.4087175e+00  7.1794699e-02 
   135 :  2.4087175e+00 -7.1794699e-02 
   136 :  2.4754468e+00 -1.9893680e-01 
   137 :  2.5936185e+00 -2.8050487e-01 
   138 :  2.7361610e+00 -2.9781266e-01 
   139 :  2.8704194e+00 -2.4689516e-01 
   140 :  2.9656368e+00 -1.3941695e-01 
   141 :  3.5499719e+00  7.0710678e-01 
   142 :  3.6928371e+00  7.0710678e-01 
   143 :  3.8357023e+00  7.0710678e-01 
   144 :  3.9785674e+00  7.0710678e-01 
   145 :  4.1214326e+00  7.0710678e-01 
   146 :  4.2642977e+00  7.0710678e-01 
   147 :  4.4071629e+00  7.0710678e-01 
   148 :  4.5500281e+00  7.0710678e-01 
   149 :  3.5499719e+00 -7.0710678e-01 
   150 :  3.6928371e+00 -7.0710678e-01 
   151 :  3.8357023e+00 -7.0710678e-01 
   152 :  3.9785674e+00 -7.0710678e-01 
   153 :  4.1214326e+00 -7.0710678e-01 
