Number of nodes 1050 
     0 :  7.0710678e-01  7.0710678e-01 
     1 :  7.0710678e-01 -7.0710678e-01 
     2 :  3.0000000e-01  0.0000000e+00 
     3 :  1.9928932e+00  7.0710678e-01 
     4 :  1.9928932e+00 -7.0710678e-01 
     5 :  3.4071068e+00  7.0710678e-01 
     6 :  3.4071068e+00 -7.0710678e-01 
     7 :  3.0000000e+00  0.0000000e+00 
     8 :  4.6928932e+00  7.0710678e-01 
     9 :  4.6928932e+00 -7.0710678e-01 
    10 :  6.1071068e+00  7.0710678e-01 
    11 :  6.1071068e+00 -7.0710678e-01 
    12 :  5.7000000e+00  0.0000000e+00 
    13 :  7.3928932e+00  7.0710678e-01 
    14 :  7.3928932e+00 -7.0710678e-01 
    15 :  8.8071068e+00  7.0710678e-01 
    16 :  8.8071068e+00 -7.0710678e-01 
    17 :  8.4000000e+00  0.0000000e+00 
    18 :  5.9569930e-01  8.0320753e-01 
    19 :  4.7139674e-01  8.8192126e-01 
    20 :  3.3688985e-01  9.4154407e-01 
    21 :  1.9509032e-01  9.8078528e-01 
    22 :  4.9067674e-02  9.9879546e-01 
    23 : -9.8017140e-02  9.9518473e-01 
    24 : -2.4298018e-01  9.7003125e-01 
    25 : -3.8268343e-01  9.2387953e-01 
    26 : -5.1410274e-01  8.5772861e-01 
    27 : -6.3439328e-01  7.7301045e-01 
    28 : -7.4095113e-01  6.7155895e-01 
    29 : -8.3146961e-01  5.5557023e-01 
    30 : -9.0398929e-01  4.2755509e-01 
    31 : -9.5694034e-01  2.9028468e-01 
    32 : -9.8917651e-01  1.4673047e-01 
    33 : -1.0000000e+00  3.2310891e-15 
    34 : -9.8917651e-01 -1.4673047e-01 
    35 : -9.5694034e-01 -2.9028468e-01 
    36 : -9.0398929e-01 -4.2755509e-01 
    37 : -8.3146961e-01 -5.5557023e-01 
    38 : -7.4095113e-01 -6.7155895e-01 
    39 : -6.3439328e-01 -7.7301045e-01 
    40 : -5.1410274e-01 -8.5772861e-01 
    41 : -3.8268343e-01 -9.2387953e-01 
    42 : -2.4298018e-01 -9.7003125e-01 
    43 : -9.8017140e-02 -9.9518473e-01 
    44 :  4.9067674e-02 -9.9879546e-01 
    45 :  1.9509032e-01 -9.8078528e-01 
    46 :  3.3688985e-01 -9.4154407e-01 
    47 :  4.7139674e-01 -8.8192126e-01 
    48 :  5.9569930e-01 -8.0320753e-01 
    49 :  2.6563681e-01  1.3941695e-01 
    50 :  1.7041942e-01  2.4689516e-01 
    51 :  3.6161004e-02  2.9781266e-01 
    52 : -1.0638147e-01  2.8050487e-01 
    53 : -2.2455322e-01  1.9893680e-01 
    54 : -2.9128255e-01  7.1794699e-02 
    55 : -2.9128255e-01 -7.1794699e-02 
    56 : -2.2455322e-01 -1.9893680e-01 
    57 : -1.0638147e-01 -2.8050487e-01 
    58 :  3.6161004e-02 -2.9781266e-01 
    59 :  1.7041942e-01 -2.4689516e-01 
    60 :  2.6563681e-01 -1.3941695e-01 
    61 :  2.9656368e+00  1.3941695e-01 
    62 :  2.8704194e+00  2.4689516e-01 
    63 :  2.7361610e+00  2.9781266e-01 
    64 :  2.5936185e+00  2.8050487e-01 
    65 :  2.4754468e+00  1.9893680e-01 
    66 :  2.4087175e+00  7.1794699e-02 
    67 :  2.4087175e+00 -7.1794699e-02 
    68 :  2.4754468e+00 -1.9893680e-01 
    69 :  2.5936185e+00 -2.8050487e-01 
    70 :  2.7361610e+00 -2.9781266e-01 
    71 :  2.8704194e+00 -2.4689516e-01 
    72 :  2.9656368e+00 -1.3941695e-01 
    73 :  5.6656368e+00  1.3941695e-01 
    74 :  5.5704194e+00  2.4689516e-01 
    75 :  5.4361610e+00  2.9781266e-01 
    76 :  5.2936185e+00  2.8050487e-01 
    77 :  5.1754468e+00  1.9893680e-01 
    78 :  5.1087175e+00  7.1794699e-02 
    79 :  5.1087175e+00 -7.1794699e-02 
    80 :  5.1754468e+00 -1.9893680e-01 
    81 :  5.2936185e+00 -2.8050487e-01 
    82 :  5.4361610e+00 -2.9781266e-01 
    83 :  5.5704194e+00 -2.4689516e-01 
    84 :  5.6656368e+00 -1.3941695e-01 
    85 :  8.3656368e+00  1.3941695e-01 
    86 :  8.2704194e+00  2.4689516e-01 
    87 :  8.1361610e+00  2.9781266e-01 
    88 :  7.9936185e+00  2.8050487e-01 
    89 :  7.8754468e+00  1.9893680e-01 
    90 :  7.8087175e+00  7.1794699e-02 
    91 :  7.8087175e+00 -7.1794699e-02 
    92 :  7.8754468e+00 -1.9893680e-01 
    93 :  7.9936185e+00 -2.8050487e-01 
    94 :  8.1361610e+00 -2.9781266e-01 
    95 :  8.2704194e+00 -2.4689516e-01 
    96 :  8.3656368e+00 -1.3941695e-01 
    97 :  8.4997194e-01  7.0710678e-01 
    98 :  9.9283710e-01  7.0710678e-01 
    99 :  1.1357023e+00  7.0710678e-01 
   100 :  1.2785674e+00  7.0710678e-01 
   101 :  1.4214326e+00  7.0710678e-01 
   102 :  1.5642977e+00  7.0710678e-01 
   103 :  1.7071629e+00  7.0710678e-01 
   104 :  1.8500281e+00  7.0710678e-01 
   105 :  8.4997194e-01 -7.0710678e-01 
   106 :  9.9283710e-01 -7.0710678e-01 
   107 :  1.1357023e+00 -7.0710678e-01 
   108 :  1.2785674e+00 -7.0710678e-01 
   109 :  1.4214326e+00 -7.0710678e-01 
   110 :  1.5642977e+00 -7.0710678e-01 
   111 :  1.7071629e+00 -7.0710678e-01 
   112 :  1.8500281e+00 -7.0710678e-01 
   113 :  3.2992777e+00  8.0054124e-01 
   114 :  3.1792490e+00  8.7767899e-01 
   115 :  3.0494642e+00  9.3694972e-01 
   116 :  2.9125653e+00  9.7714687e-01 
   117 :  2.7713392e+00  9.9745211e-01 
   118 :  2.6286608e+00  9.9745211e-01 
   119 :  2.4874347e+00  9.7714687e-01 
   120 :  2.3505358e+00  9.3694972e-01 
   121 :  2.2207510e+00  8.7767899e-01 
   122 :  2.1007223e+00  8.0054124e-01 
   123 :  2.1007223e+00 -8.0054124e-01 
   124 :  2.2207510e+00 -8.7767899e-01 
   125 :  2.3505358e+00 -9.3694972e-01 
   126 :  2.4874347e+00 -9.7714687e-01 
   127 :  2.6286608e+00 -9.9745211e-01 
   128 :  2.7713392e+00 -9.9745211e-01 
   129 :  2.9125653e+00 -9.7714687e-01 
   130 :  3.0494642e+00 -9.3694972e-01 
   131 :  3.1792490e+00 -8.7767899e-01 
   132 :  3.2992777e+00 -8.0054124e-01 
   133 :  3.5499719e+00  7.0710678e-01 
   134 :  3.6928371e+00  7.0710678e-01 
   135 :  3.8357023e+00  7.0710678e-01 
   136 :  3.9785674e+00  7.0710678e-01 
   137 :  4.1214326e+00  7.0710678e-01 
   138 :  4.2642977e+00  7.0710678e-01 
   139 :  4.4071629e+00  7.0710678e-01 
   140 :  4.5500281e+00  7.0710678e-01 
   141 :  3.5499719e+00 -7.0710678e-01 
   142 :  3.6928371e+00 -7.0710678e-01 
   143 :  3.8357023e+00 -7.0710678e-01 
   144 :  3.9785674e+00 -7.0710678e-01 
   145 :  4.1214326e+00 -7.0710678e-01 
   146 :  4.2642977e+00 -7.0710678e-01 
   147 :  4.4071629e+00 -7.0710678e-01 
   148 :  4.5500281e+00 -7.0710678e-01 
   149 :  5.9992777e+00  8.0054124e-01 
   150 :  5.8792490e+00  8.7767899e-01 
   151 :  5.7494642e+00  9.3694972e-01 
   152 :  5.6125653e+00  9.7714687e-01 
   153 :  5.4713392e+00  9.9745211e-01 
