Number of nodes 725 
     0 :  7.0710678e-01  7.0710678e-01 
     1 :  7.0710678e-01 -7.0710678e-01 
     2 :  3.0000000e-01  0.0000000e+00 
     3 :  1.9928932e+00  7.0710678e-01 
     4 :  1.9928932e+00 -7.0710678e-01 
     5 :  3.4071068e+00  7.0710678e-01 
     6 :  3.4071068e+00 -7.0710678e-01 
     7 :  3.0000000e+00  0.0000000e+00 
     8 :  4.6928932e+00  7.0710678e-01 
     9 :  4.6928932e+00 -7.0710678e-01 
    10 :  6.1071068e+00  7.0710678e-01 
    11 :  6.1071068e+00 -7.0710678e-01 
    12 :  5.7000000e+00  0.0000000e+00 
    13 :  7.3928932e+00  7.0710678e-01 
    14 :  7.3928932e+00 -7.0710678e-01 
    15 :  8.8071068e+00  7.0710678e-01 
    16 :  8.8071068e+00 -7.0710678e-01 
    17 :  8.4000000e+00  0.0000000e+00 
    18 :  1.0092893e+01  7.0710678e-01 
    19 :  1.0092893e+01 -7.0710678e-01 
    20 :  1.1507107e+01  7.0710678e-01 
    21 :  1.1507107e+01 -7.0710678e-01 
    22 :  1.1100000e+01  0.0000000e+00 
    23 :  1.2792893e+01  7.0710678e-01 
    24 :  1.2792893e+01 -7.0710678e-01 
    25 :  1.4207107e+01  7.0710678e-01 
    26 :  1.4207107e+01 -7.0710678e-01 
    27 :  1.3800000e+01  0.0000000e+00 
    28 :  5.1188505e-01  8.5905395e-01 
    29 :  2.8533622e-01  9.5842748e-01 
    30 :  4.1324974e-02  9.9914576e-01 
    31 : -2.0521534e-01  9.7871685e-01 
    32 : -4.3919659e-01  8.9839098e-01 
    33 : -6.4629924e-01  7.6308407e-01 
    34 : -8.1384872e-01  5.8107682e-01 
    35 : -9.3159109e-01  3.6350797e-01 
    36 : -9.9232058e-01  1.2369263e-01 
    37 : -9.9232058e-01 -1.2369263e-01 
    38 : -9.3159109e-01 -3.6350797e-01 
    39 : -8.1384872e-01 -5.8107682e-01 
    40 : -6.4629924e-01 -7.6308407e-01 
    41 : -4.3919659e-01 -8.9839098e-01 
    42 : -2.0521534e-01 -9.7871685e-01 
    43 :  4.1324974e-02 -9.9914576e-01 
    44 :  2.8533622e-01 -9.5842748e-01 
    45 :  5.1188505e-01 -8.5905395e-01 
    46 :  2.1213203e-01  2.1213203e-01 
    47 :  9.5095704e-16  3.0000000e-01 
    48 : -2.1213203e-01  2.1213203e-01 
    49 : -3.0000000e-01  1.9019141e-15 
    50 : -2.1213203e-01 -2.1213203e-01 
    51 : -8.5446968e-16 -3.0000000e-01 
    52 :  2.1213203e-01 -2.1213203e-01 
    53 :  2.9121320e+00  2.1213203e-01 
    54 :  2.7000000e+00  3.0000000e-01 
    55 :  2.4878680e+00  2.1213203e-01 
    56 :  2.4000000e+00  1.9019141e-15 
    57 :  2.4878680e+00 -2.1213203e-01 
    58 :  2.7000000e+00 -3.0000000e-01 
    59 :  2.9121320e+00 -2.1213203e-01 
    60 :  5.6121320e+00  2.1213203e-01 
    61 :  5.4000000e+00  3.0000000e-01 
    62 :  5.1878680e+00  2.1213203e-01 
    63 :  5.1000000e+00  1.9019141e-15 
    64 :  5.1878680e+00 -2.1213203e-01 
    65 :  5.4000000e+00 -3.0000000e-01 
    66 :  5.6121320e+00 -2.1213203e-01 
    67 :  8.3121320e+00  2.1213203e-01 
    68 :  8.1000000e+00  3.0000000e-01 
    69 :  7.8878680e+00  2.1213203e-01 
    70 :  7.8000000e+00  1.9019141e-15 
    71 :  7.8878680e+00 -2.1213203e-01 
    72 :  8.1000000e+00 -3.0000000e-01 
    73 :  8.3121320e+00 -2.1213203e-01 
    74 :  1.1012132e+01  2.1213203e-01 
    75 :  1.0800000e+01  3.0000000e-01 
    76 :  1.0587868e+01  2.1213203e-01 
    77 :  1.0500000e+01  1.9019141e-15 
    78 :  1.0587868e+01 -2.1213203e-01 
    79 :  1.0800000e+01 -3.0000000e-01 
    80 :  1.1012132e+01 -2.1213203e-01 
    81 :  1.3712132e+01  2.1213203e-01 
    82 :  1.3500000e+01  3.0000000e-01 
    83 :  1.3287868e+01  2.1213203e-01 
    84 :  1.3200000e+01  1.9019141e-15 
    85 :  1.3287868e+01 -2.1213203e-01 
    86 :  1.3500000e+01 -3.0000000e-01 
    87 :  1.3712132e+01 -2.1213203e-01 
    88 :  9.2140452e-01  7.0710678e-01 
    89 :  1.1357023e+00  7.0710678e-01 
    90 :  1.3500000e+00  7.0710678e-01 
    91 :  1.5642977e+00  7.0710678e-01 
    92 :  1.7785955e+00  7.0710678e-01 
    93 :  9.2140452e-01 -7.0710678e-01 
    94 :  1.1357023e+00 -7.0710678e-01 
    95 :  1.3500000e+00 -7.0710678e-01 
    96 :  1.5642977e+00 -7.0710678e-01 
    97 :  1.7785955e+00 -7.0710678e-01 
    98 :  3.2320321e+00  8.4672420e-01 
    99 :  3.0302791e+00  9.4388333e-01 
   100 :  2.8119645e+00  9.9371221e-01 
   101 :  2.5880355e+00  9.9371221e-01 
   102 :  2.3697209e+00  9.4388333e-01 
   103 :  2.1679679e+00  8.4672420e-01 
   104 :  2.1679679e+00 -8.4672420e-01 
   105 :  2.3697209e+00 -9.4388333e-01 
   106 :  2.5880355e+00 -9.9371221e-01 
   107 :  2.8119645e+00 -9.9371221e-01 
   108 :  3.0302791e+00 -9.4388333e-01 
   109 :  3.2320321e+00 -8.4672420e-01 
   110 :  3.6214045e+00  7.0710678e-01 
   111 :  3.8357023e+00  7.0710678e-01 
   112 :  4.0500000e+00  7.0710678e-01 
   113 :  4.2642977e+00  7.0710678e-01 
   114 :  4.4785955e+00  7.0710678e-01 
   115 :  3.6214045e+00 -7.0710678e-01 
   116 :  3.8357023e+00 -7.0710678e-01 
   117 :  4.0500000e+00 -7.0710678e-01 
   118 :  4.2642977e+00 -7.0710678e-01 
   119 :  4.4785955e+00 -7.0710678e-01 
   120 :  5.9320321e+00  8.4672420e-01 
   121 :  5.7302791e+00  9.4388333e-01 
   122 :  5.5119645e+00  9.9371221e-01 
   123 :  5.2880355e+00  9.9371221e-01 
   124 :  5.0697209e+00  9.4388333e-01 
   125 :  4.8679679e+00  8.4672420e-01 
   126 :  4.8679679e+00 -8.4672420e-01 
   127 :  5.0697209e+00 -9.4388333e-01 
   128 :  5.2880355e+00 -9.9371221e-01 
   129 :  5.5119645e+00 -9.9371221e-01 
   130 :  5.7302791e+00 -9.4388333e-01 
   131 :  5.9320321e+00 -8.4672420e-01 
   132 :  6.3214045e+00  7.0710678e-01 
   133 :  6.5357023e+00  7.0710678e-01 
   134 :  6.7500000e+00  7.0710678e-01 
   135 :  6.9642977e+00  7.0710678e-01 
   136 :  7.1785955e+00  7.0710678e-01 
   137 :  6.3214045e+00 -7.0710678e-01 
   138 :  6.5357023e+00 -7.0710678e-01 
   139 :  6.7500000e+00 -7.0710678e-01 
   140 :  6.9642977e+00 -7.0710678e-01 
   141 :  7.1785955e+00 -7.0710678e-01 
   142 :  8.6320321e+00  8.4672420e-01 
   143 :  8.4302791e+00  9.4388333e-01 
   144 :  8.2119645e+00  9.9371221e-01 
   145 :  7.9880355e+00  9.9371221e-01 
   146 :  7.7697209e+00  9.4388333e-01 
   147 :  7.5679679e+00  8.4672420e-01 
   148 :  7.5679679e+00 -8.4672420e-01 
   149 :  7.7697209e+00 -9.4388333e-01 
   150 :  7.9880355e+00 -9.9371221e-01 
   151 :  8.2119645e+00 -9.9371221e-01 
   152 :  8.4302791e+00 -9.4388333e-01 
   153 :  8.6320321e+00 -8.4672420e-01 
